Date,Time,State/UnionTerritory,Confirmed,Cured,Deaths
26-04-2020,5:00 PM,Jharkhand,0.00122356550641,0.0007667807007195,0.0016741071428571
18-05-2020,11:23 PM,Assam,0.0021184119215457,0.0024772914946325,0.0022321428571428
18-05-2020,11:33 AM,Andhra Pradesh,0.04441360166551,0.0915418190397546,0.0279017857142857
15-05-2020,12:43 PM,Himachal Pradesh,0.0013696628803097,0.0020644095788604,0.0016741071428571
24-05-2020,11:47 PM,Dadra and Nagar Haveli and Daman and Diu,3.652434347492604e-05,5.898313082458417e-05,0.0
12-04-2020,5:00 PM,Assam,0.0005296029803864,0.0,0.0005580357142857
23-05-2020,7:33 PM,Punjab,0.0373461412031118,0.1102984546419724,0.0217633928571428
01-05-2020,5:00 PM,Jammu and Kashmir,0.0112129734468022,0.0127403562581101,0.0044642857142857
10-04-2020,5:00 PM,Bihar,0.0010957303042477,0.0,0.0005580357142857
02-05-2020,5:00 PM,Chandigarh,0.0016070711128967,0.0010027132240179,0.0
18-04-2020,5:00 PM,Uttarakhand,0.0007670112129734,0.0005308481774212,0.0
03-04-2020,6:00 PM,Bihar,0.0005296029803864,0.0,0.0005580357142857
20-04-2020,5:00 PM,Haryana,0.0042550860148288,0.0051315323817388,0.0016741071428571
23-05-2020,11:21 AM,Rajasthan,0.1240731947843237,0.2243718296567182,0.08984375
28-04-2020,5:00 PM,Tripura,3.652434347492604e-05,0.0001179662616491,0.0
06-05-2020,8:00 AM,Goa,0.0001278352021622,0.000412881915772,0.0
07-04-2020,6:00 PM,Uttarakhand,0.0005661273238613,0.0002949156541229,0.0
10-04-2020,5:00 PM,Haryana,0.0030863070236312,0.0017105107939129,0.0016741071428571
15-03-2020,6:00 PM,Telangana,5.4786515212389055e-05,5.898313082458417e-05,0.0
04-03-2020,6:00 PM,Haryana,3.652434347492604e-05,0.0,0.0
02-03-2020,6:00 PM,Telangana,1.826217173746302e-05,0.0,0.0
08-05-2020,8:00 AM,Goa,0.0001278352021622,0.000412881915772,0.0
16-03-2020,6:00 PM,Karnataka,0.0001095730304247,0.0,0.0005580357142857
18-03-2020,6:00 PM,Punjab,1.826217173746302e-05,0.0,0.0
08-04-2020,5:00 PM,Tamil Nadu,0.0126008984988494,0.001120679485667,0.00390625
18-05-2020,6:05 PM,Karnataka,0.0227546659848789,0.0312610593370296,0.0206473214285714
10-05-2020,4:37 PM,Andhra Pradesh,0.0361591000401767,0.0545593960127403,0.0251116071428571
14-05-2020,6:28 PM,Assam,0.0015888089411592,0.0024183083638079,0.0011160714285714
12-03-2020,6:00 PM,Andhra Pradesh,1.826217173746302e-05,0.0,0.0
25-05-2020,11:43 PM,Andhra Pradesh,0.0527046276343182,0.1115960835201132,0.03125
21-04-2020,5:00 PM,Sikkim,0.0,0.0,0.0
13-04-2020,5:00 PM,Himachal Pradesh,0.0005843894955988,0.0007667807007195,0.0005580357142857
12-05-2020,7:53 PM,West Bengal,0.0396836991855071,0.0360976760646455,0.1104910714285714
24-05-2020,9:22 PM,Telangana,0.0338580664012564,0.0644095788604459,0.0295758928571428
08-05-2020,8:00 AM,Punjab,0.0300230103363892,0.008788486492863,0.015625
06-04-2020,6:00 PM,Jharkhand,7.304868694985207e-05,0.0,0.0
